#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Tue Oct 13 10:59:46 EDT 2020.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20190101,-97.6,27,1
20190101,-152.3,60.9,3
20190101,-73.2,43,1
20190101,-135.7,57,1
20190101,-86.2,34.9,1
20190101,-83.7,35.6,1
20190101,-83.6,35.6,1
20190101,-83.5,35.6,1
20190101,-83.5,35.7,2
20190101,-81.6,38.4,1
20190101,-76.1,42.2,1
20190101,-75.8,42.2,1
20190101,-79.2,42.4,1
20190101,-79.1,42.4,1
20190101,-78.9,42.7,1
20190101,-78.8,42.8,1
20190101,-78.9,42.9,1
20190101,-69.1,43.6,1
20190101,-69.7,43.7,1
20190101,-69.1,43.8,1
20190101,-71.5,43.9,1
20190101,-69.3,44.1,1
20190101,-71.3,44.2,1
20190101,-71.3,44.3,3
20190101,-70.6,44.4,1
20190101,-70.7,44.6,1
20190101,-70.4,44.6,2
20190101,-135.5,57.2,1
20190101,-135.4,57.2,1
20190101,-150.6,60.2,2
20190101,-150.4,60.3,1
20190101,-152.7,60.5,1
20190101,-152.4,60.9,3
20190101,-76.1,42,1
20190102,-96.3,30,11
20190102,-86.8,36.1,1
20190102,-96.2,29.5,11
20190102,-95,29.6,11
20190102,-96.2,29.6,22
20190102,-95.1,29.6,11
20190102,-96.2,29.7,11
20190102,-95.2,29.7,11
20190102,-95.1,29.7,11
20190102,-95.9,30.1,11
20190102,-96.1,30.4,11
20190102,-94.8,30.4,11
20190102,-95.6,30.8,11
20190102,-95.4,30.8,11
20190102,-96.2,30,33
20190103,-94.4,30,2
20190103,-123.1,47.8,2
20190103,-123.7,48,1
20190103,-123.3,48,1
20190103,-123.2,48,5
20190103,-95.6,28.8,11
20190103,-95.4,29.2,11
20190103,-95.2,29.2,11
20190103,-94.8,29.2,11
20190103,-95.4,29.3,11
20190103,-95.6,29.4,11
20190103,-95.1,29.4,11
