#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Thu Mar 21 08:37:21 EDT 2024.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20240301,-90,29.5,1
20240301,-114.2,46.5,1
20240301,-90,29.6,2
20240301,-90.2,29.6,1
20240301,-90.1,29.6,1
20240301,-91.1,29.7,1
20240301,-90.2,29.7,1
20240301,-91.2,29.8,1
20240301,-91.2,29.9,1
20240301,-121.8,38.1,1
20240301,-120.6,38.9,1
20240301,-119.9,39.2,2
20240301,-119.9,39.5,1
20240301,-120,39.6,2
20240301,-121.2,39.6,1
20240301,-120.1,39.6,1
20240301,-119.7,39.6,1
20240301,-120,39.7,1
20240301,-120.2,39.7,1
20240301,-119.8,39.7,2
20240301,-119.7,39.7,2
20240301,-121.7,39.9,1
20240301,-121.5,39.9,1
20240301,-116.8,43.1,3
20240301,-112,43.3,1
20240301,-116.2,43.7,1
20240301,-90.4,29.5,1
20240302,-122.3,39,1
20240302,-120.8,39,2
20240302,-121.7,40,1
20240302,-121.5,40,1
20240302,-121.4,40,1
20240302,-121.3,40,2
20240302,-113.1,41,1
20240302,-112.2,42,1
20240302,-112.1,42,1
20240302,-90.7,29.3,1
20240302,-90.6,29.4,1
20240302,-90.7,29.5,1
20240302,-84.2,33.3,1
20240302,-99.5,33.6,1
20240302,-118.6,36.1,1
20240302,-118.7,36.4,1
20240302,-118.8,36.6,1
20240302,-119.1,36.9,4
20240302,-122.1,37.1,1
20240302,-119.4,37.1,1
20240302,-119.2,37.1,1
20240302,-121.6,37.3,1
20240302,-113,37.5,2
20240302,-121.9,37.9,1
20240302,-121.9,38.1,1
20240302,-121.8,38.1,7
20240302,-121.9,38.2,4
20240302,-121.8,38.2,10
20240302,-121.5,38.6,3
20240302,-120.6,38.7,1
20240302,-122.3,38.9,1
20240302,-120.9,38.9,2
20240302,-120.8,38.9,1
20240302,-120.7,38.9,6
20240302,-120.6,38.9,1
20240302,-122.6,39.1,1
20240302,-122.3,39.1,2
20240302,-121.1,39.1,1
20240302,-122.7,39.2,7
20240302,-122.3,39.2,1
20240302,-122.7,39.3,2
20240302,-122.6,39.3,1
20240302,-122.7,39.4,10
20240302,-122.6,39.4,1
20240302,-119.9,39.4,4
20240302,-119.8,39.4,2
20240302,-120,39.5,1
