,state,lat,lng,population,location,county
0,California,34.3219,-118.2247,9936690,"(34.3219, -118.2247)",Los Angeles County
1,Illinois,41.8401,-87.8168,5225367,"(41.8401, -87.8168)",Cook County
2,Texas,29.8578,-95.3938,4726177,"(29.8578, -95.3938)",Harris County
3,Arizona,33.349,-112.4915,4430871,"(33.349, -112.4915)",Maricopa County
4,California,33.0343,-116.7351,3289701,"(33.0343, -116.7351)",San Diego County
5,California,33.7031,-117.7609,3175227,"(33.7031, -117.7609)",Orange County
6,Florida,25.615,-80.5624,2688237,"(25.615, -80.5624)",Miami-Dade County
7,New York,40.6413,-73.9383,2679620,"(40.6413, -73.9383)",Kings County
8,Texas,32.7666,-96.7778,2604053,"(32.7666, -96.7778)",Dallas County
9,California,33.7437,-115.9938,2429487,"(33.7437, -115.9938)",Riverside County
10,New York,40.7035,-73.8196,2360826,"(40.7035, -73.8196)",Queens County
11,Nevada,36.2152,-115.0135,2265926,"(36.2152, -115.0135)",Clark County
12,Washington,47.4902,-121.8052,2254371,"(47.4902, -121.8052)",King County
13,California,34.8414,-116.1785,2180563,"(34.8414, -116.1785)",San Bernardino County
14,Texas,32.7719,-97.2911,2113854,"(32.7719, -97.2911)",Tarrant County
15,Texas,29.4489,-98.52,2014059,"(29.4489, -98.52)",Bexar County
16,Florida,26.1523,-80.4871,1940907,"(26.1523, -80.4871)",Broward County
17,California,37.2318,-121.6951,1916831,"(37.2318, -121.6951)",Santa Clara County
18,Michigan,42.2822,-83.283,1781641,"(42.2822, -83.283)",Wayne County
19,California,37.6469,-121.8887,1663823,"(37.6469, -121.8887)",Alameda County
20,New York,40.7793,-73.9668,1645867,"(40.7793, -73.9668)",New York County
21,Massachusetts,42.4856,-71.3918,1623109,"(42.4856, -71.3918)",Middlesex County
22,Pennsylvania,40.0077,-75.1339,1593208,"(40.0077, -75.1339)",Philadelphia County
23,California,38.4493,-121.3443,1579211,"(38.4493, -121.3443)",Sacramento County
24,New York,40.8681,-72.8454,1524486,"(40.8681, -72.8454)",Suffolk County
25,Florida,26.6476,-80.4655,1494805,"(26.6476, -80.4655)",Palm Beach County
26,Florida,27.9292,-82.3088,1468560,"(27.9292, -82.3088)",Hillsborough County
27,New York,40.8501,-73.8671,1443229,"(40.8501, -73.8671)",Bronx
28,Florida,28.5144,-81.3235,1427403,"(28.5144, -81.3235)",Orange County
29,New York,40.7326,-73.5862,1389160,"(40.7326, -73.5862)",Nassau County
30,Ohio,39.9695,-83.0093,1318149,"(39.9695, -83.0093)",Franklin County
31,Texas,30.3344,-97.782,1289054,"(30.3344, -97.782)",Travis County
32,Michigan,42.6604,-83.3858,1272264,"(42.6604, -83.3858)",Oakland County
33,Minnesota,45.0046,-93.477,1270787,"(45.0046, -93.477)",Hennepin County
34,Ohio,41.4243,-81.6586,1256620,"(41.4243, -81.6586)",Cuyahoga County
35,Pennsylvania,40.4688,-79.9812,1245310,"(40.4688, -79.9812)",Allegheny County
36,Utah,40.6673,-111.9236,1180643,"(40.6673, -111.9236)",Salt Lake County
37,California,37.9192,-121.9275,1162648,"(37.9192, -121.9275)",Contra Costa County
38,Virginia,38.8368,-77.277,1145354,"(38.8368, -77.277)",Fairfax County
39,North Carolina,35.7903,-78.6503,1132103,"(35.7903, -78.6503)",Wake County
40,North Carolina,35.2467,-80.8328,1115403,"(35.2467, -80.8328)",Mecklenburg County
41,Texas,33.188,-96.5724,1079153,"(33.188, -96.5724)",Collin County
42,Georgia,33.7902,-84.467,1061944,"(33.7902, -84.467)",Cobb County
43,Maryland,39.1363,-77.2042,1056910,"(39.1363, -77.2042)",Montgomery County
44,Arizona,32.0974,-111.7899,1042393,"(32.0974, -111.7899)",Pima County
45,Hawaii,21.5009,-158.106,1010100,"(21.5009, -158.106)",Honolulu County
46,California,36.7582,-119.6493,1008280,"(36.7582, -119.6493)",Fresno County
47,Missouri,38.6407,-90.4434,999703,"(38.6407, -90.4434)",Saint Louis County
48,New York,41.1626,-73.7561,997904,"(41.1626, -73.7561)",Westchester County
49,Florida,30.3313,-81.6715,995708,"(30.3313, -81.6715)",Duval County
50,Connecticut,41.8185,-72.572,977165,"(41.8185, -72.572)",Hartford County
51,Indiana,39.7817,-86.1385,971737,"(39.7817, -86.1385)",Marion County
52,Florida,27.9198,-82.7255,959918,"(27.9198, -82.7255)",Pinellas County
53,Georgia,33.9617,-84.0236,957977,"(33.9617, -84.0236)",Gwinnett County
54,Maryland,38.8295,-76.8473,957189,"(38.8295, -76.8473)",Prince George's County
55,New Jersey,40.9597,-74.0742,953243,"(40.9597, -74.0742)",Bergen County
56,New York,42.7639,-78.7323,951232,"(42.7639, -78.7323)",Erie County
57,Wisconsin,43.0072,-87.9669,933063,"(43.0072, -87.9669)",Milwaukee County
58,Illinois,41.852,-88.0856,930559,"(41.852, -88.0856)",DuPage County
