,DATE,AVGDV_max,LLDV_max,MXDV_max,MXDV_HEIGHT_max,DEPTH_max,MAX_SHEAR_max,MAX_SHEAR_HEIGHT_max,location,county,state,Event Month,power_outage
0,2023-01-01,36,49,56,7,6.5,29,6.6,"(32.39305, -110.68147)",Pima County,Arizona,,False
1,2023-01-01,52,96,96,2,5.9,86,1.8,"(32.18141, -110.52664)",Cochise County,Arizona,,False
2,2023-01-01,31,50,50,4,9.1,17,4.2,"(34.34357, -117.82177)",San Bernardino County,California,,False
3,2023-01-01,35,62,62,6,8.3,21,6.4,"(34.29869, -117.62836)",San Bernardino County,California,,False
4,2023-01-01,39,52,52,4,5.0,24,2.6,"(35.0269, -118.24596)",Kern County,California,,False
5,2023-01-01,29,52,52,4,6.9,18,3.8,"(34.34357, -117.82177)",San Bernardino County,California,,False
6,2023-01-01,47,44,122,12,15.0,346,11.4,"(34.48809333333333, -111.22362)",Gila County,Arizona,,False
7,2023-01-01,39,30,86,9,6.9,33,9.2,"(36.36179, -120.53788)",Fresno County,California,,False
8,2023-01-01,49,39,106,4,7.4,370,3.8,"(37.65196, -112.82785)",Iron County,Utah,,False
9,2023-01-01,67,88,108,14,11.1,53,13.5,"(33.976775, -112.37438)",Yavapai County,Arizona,,False
10,2023-01-01,28,31,76,18,13.7,29,17.8,"(34.14096, -112.33159)",Yavapai County,Arizona,,False
11,2023-01-01,41,73,91,19,14.7,33,18.7,"(34.14545, -112.30123)",Yavapai County,Arizona,,False
12,2023-01-01,31,51,51,7,8.5,15,6.9,"(38.91239, -119.87524)",Douglas County,Nevada,,False
13,2023-01-01,41,63,84,2,5.8,65,2.3,"(34.86271, -119.97364)",Santa Barbara County,California,,False
14,2023-01-02,57,79,86,10,13.5,67,10.4,"(36.15464, -87.03635)",Cheatham County,Tennessee,January,False
15,2023-01-02,50,79,107,20,17.6,99,19.6,"(36.144235, -86.971035)",Cheatham County,Tennessee,January,False
16,2023-01-02,59,103,108,30,28.1,56,29.6,"(35.98543133333333, -87.39105599999999)",Dickson County,Tennessee,January,False
17,2023-01-02,59,82,112,14,19.7,65,14.3,"(36.04496, -87.24549)",Dickson County,Tennessee,January,False
18,2023-01-02,35,37,124,32,28.7,49,31.5,"(35.90745, -87.4783)",Hickman County,Tennessee,January,False
19,2023-01-02,50,82,94,24,20.2,33,23.7,"(35.79079, -87.57653)",Hickman County,Tennessee,January,False
20,2023-01-02,44,90,96,8,16.9,96,8.1,"(36.179625, -86.86277999999999)",Davidson County,Tennessee,January,False
21,2023-01-02,37,53,67,3,5.8,50,3.3,"(34.58147, -104.03828)",De Baca County,New Mexico,January,False
22,2023-01-02,32,28,70,9,5.3,34,9.1,"(32.67306, -106.53458)",Dona Ana County,New Mexico,January,False
23,2023-01-02,40,59,59,3,8.6,35,3.0,"(32.81766, -106.55747)",Dona Ana County,New Mexico,January,False
24,2023-01-02,41,66,66,2,7.0,42,1.8,"(32.83692, -106.52515)",Otero County,New Mexico,January,False
25,2023-01-02,38,63,63,2,5.3,39,1.8,"(32.80316, -106.5196)",Otero County,New Mexico,January,False
26,2023-01-02,32,58,58,4,6.7,19,4.1,"(32.33867, -106.48898)",Dona Ana County,New Mexico,January,False
27,2023-01-02,37,63,63,4,7.9,30,3.9,"(32.64811, -106.52999)",Dona Ana County,New Mexico,January,False
28,2023-01-02,33,94,108,14,25.3,38,14.0,"(30.26588, -95.30242)",Montgomery County,Texas,January,False
29,2023-01-02,44,62,82,18,16.7,42,18.0,"(29.94241, -95.61148)",Harris County,Texas,January,False
30,2023-01-02,40,33,93,9,23.7,50,8.7,"(30.01708, -95.25205)",Harris County,Texas,January,False
31,2023-01-02,31,24,93,17,14.9,54,17.3,"(30.04796333333333, -95.10315333333334)",Harris County,Texas,January,False
32,2023-01-02,64,95,123,17,17.8,54,17.2,"(30.706000909090907, -95.66856454545454)",Walker County,Texas,January,False
33,2023-01-02,40,37,103,10,16.3,35,9.5,"(30.69675, -96.03044)",Grimes County,Texas,January,False
34,2023-01-02,56,34,104,9,23.5,47,8.7,"(30.697158, -95.662334)",Walker County,Texas,January,False
35,2023-01-02,69,107,107,3,5.6,71,2.9,"(29.67015, -95.64674)",Fort Bend County,Texas,January,False
36,2023-01-02,61,85,117,18,25.3,43,18.4,"(30.7881225, -95.4196625)",Walker County,Texas,January,False
37,2023-01-02,43,50,92,5,6.2,38,5.0,"(30.67538, -95.67887)",Walker County,Texas,January,False
38,2023-01-02,33,23,84,9,7.1,29,9.1,"(30.82583, -95.69093)",Walker County,Texas,January,False
39,2023-01-02,26,39,75,24,24.4,23,23.6,"(35.29058, -95.54517)",McIntosh County,Oklahoma,January,False
40,2023-01-02,59,91,96,6,20.0,33,6.3,"(34.28482, -90.58799)",Coahoma County,Mississippi,January,False
41,2023-01-02,50,85,140,13,26.7,85,13.4,"(35.02925, -90.51119)",Saint Francis County,Arkansas,January,False
42,2023-01-02,61,85,85,3,8.9,33,3.3,"(35.93677, -97.29219)",Logan County,Oklahoma,January,False
43,2023-01-02,35,46,56,4,9.9,27,3.7,"(31.67593, -93.18586)",Natchitoches Parish,Louisiana,January,False
44,2023-01-02,61,109,114,17,28.7,32,9.6,"(31.974462666666668, -92.95777466666668)",Natchitoches Parish,Louisiana,January,False
