,#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT,location,county,state,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1,2019-01-06,-120.0,35.0,1,"(35.0, -120.0)",Santa Barbara County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
3,2019-01-06,-123.4,47.3,1,"(47.3, -123.4)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
5,2019-01-06,-123.4,47.3,1,"(47.3, -123.4)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
6,2019-01-06,-118.2,46.0,1,"(46.0, -118.2)",Walla Walla County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
8,2019-01-06,-118.2,46.0,1,"(46.0, -118.2)",Walla Walla County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
9,2019-01-06,-123.2,47.0,2,"(47.0, -123.2)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
11,2019-01-06,-123.2,47.0,2,"(47.0, -123.2)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
12,2019-01-06,-123.1,47.0,1,"(47.0, -123.1)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
14,2019-01-06,-123.1,47.0,1,"(47.0, -123.1)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
55,2019-01-06,-119.9,34.9,1,"(34.9, -119.9)",Santa Barbara County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
58,2019-01-06,-118.8,36.3,1,"(36.3, -118.8)",Tulare County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
61,2019-01-06,-118.7,36.4,1,"(36.4, -118.7)",Tulare County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
64,2019-01-06,-121.7,39.7,5,"(39.7, -121.7)",Butte County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
67,2019-01-06,-123.8,40.7,1,"(40.7, -123.8)",Humboldt County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
72,2019-01-06,-118.1,45.9,1,"(45.9, -118.1)",Walla Walla County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
74,2019-01-06,-118.1,45.9,1,"(45.9, -118.1)",Walla Walla County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
75,2019-01-06,-123.5,46.8,1,"(46.8, -123.5)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
77,2019-01-06,-123.5,46.8,1,"(46.8, -123.5)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
79,2019-01-06,-124.0,41.0,1,"(41.0, -124.0)",Humboldt County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
113,2019-01-13,-82.2,35.3,1,"(35.3, -82.2)",Polk County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
115,2019-01-13,-81.7,35.6,1,"(35.6, -81.7)",Burke County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
117,2019-01-13,-82.2,35.5,1,"(35.5, -82.2)",Rutherford County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
118,2019-01-16,-119.1,37.0,1,"(37.0, -119.1)",Fresno County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
119,2019-01-16,-124.2,40.7,1,"(40.7, -124.2)",Humboldt County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
122,2019-01-16,-117.8,34.4,1,"(34.4, -117.8)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
123,2019-01-16,-117.7,34.4,2,"(34.4, -117.7)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
124,2019-01-16,-117.6,34.4,1,"(34.4, -117.6)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
127,2019-01-16,-121.8,36.6,1,"(36.6, -121.8)",Monterey County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
128,2019-01-16,-118.7,36.6,1,"(36.6, -118.7)",Tulare County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
129,2019-01-16,-122.1,37.1,1,"(37.1, -122.1)",Santa Cruz County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
130,2019-01-16,-121.8,37.2,1,"(37.2, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
131,2019-01-16,-122.0,37.3,1,"(37.3, -122.0)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
132,2019-01-16,-121.8,37.3,3,"(37.3, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
133,2019-01-16,-122.0,37.4,5,"(37.4, -122.0)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
134,2019-01-16,-122.1,37.4,1,"(37.4, -122.1)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
135,2019-01-16,-121.8,37.4,1,"(37.4, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
136,2019-01-16,-122.0,37.5,2,"(37.5, -122.0)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
137,2019-01-16,-122.0,37.6,2,"(37.6, -122.0)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
138,2019-01-16,-121.9,37.6,1,"(37.6, -121.9)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
139,2019-01-16,-121.7,37.8,2,"(37.8, -121.7)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
140,2019-01-16,-122.2,37.9,2,"(37.9, -122.2)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
141,2019-01-16,-122.1,37.9,1,"(37.9, -122.1)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
142,2019-01-16,-121.9,37.9,1,"(37.9, -121.9)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
144,2019-01-16,-121.7,39.6,1,"(39.6, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
145,2019-01-16,-121.8,39.7,1,"(39.7, -121.8)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
146,2019-01-16,-121.7,39.7,1,"(39.7, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
147,2019-01-16,-121.7,39.9,1,"(39.9, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
