,DATE,WSR_ID,CELL_ID,LAT_mean,LAT_min,LAT_max,LON_mean,LON_min,LON_max,AVGDV_max,LLDV_max,MXDV_max,MXDV_HEIGHT_max,DEPTH_max,MAX_SHEAR_max,MAX_SHEAR_HEIGHT_max
0,2023-01-01,KEMX,I7,32.39305,32.39305,32.39305,-110.68147,-110.68147,-110.68147,36,49,56,7,6.5,29,6.6
1,2023-01-01,KEMX,L7,32.18141,32.18141,32.18141,-110.52664,-110.52664,-110.52664,52,96,96,2,5.9,86,1.8
2,2023-01-01,KEYX,G8,34.34357,34.34357,34.34357,-117.82177,-117.82177,-117.82177,31,50,50,4,9.1,17,4.2
3,2023-01-01,KEYX,K3,34.29869,34.29869,34.29869,-117.62836,-117.62836,-117.62836,35,62,62,6,8.3,21,6.4
4,2023-01-01,KEYX,S2,35.0269,35.0269,35.0269,-118.24596,-118.24596,-118.24596,39,52,52,4,5.0,24,2.6
5,2023-01-01,KEYX,U0,34.34357,34.34357,34.34357,-117.82177,-117.82177,-117.82177,29,52,52,4,6.9,18,3.8
6,2023-01-01,KFSX,N0,34.48809333333333,34.48113,34.4918,-111.22362,-111.24332,-111.21203,47,44,122,12,15.0,346,11.4
7,2023-01-01,KHNX,U6,36.36179,36.36179,36.36179,-120.53788,-120.53788,-120.53788,39,30,86,9,6.9,33,9.2
8,2023-01-01,KICX,D0,37.65196,37.65196,37.65196,-112.82785,-112.82785,-112.82785,49,39,106,4,7.4,370,3.8
9,2023-01-01,KPHX,H0,33.976775,33.9655,33.98805,-112.37438,-112.39795,-112.35081,67,88,108,14,11.1,53,13.5
10,2023-01-01,KPHX,O2,34.14096,34.14096,34.14096,-112.33159,-112.33159,-112.33159,28,31,76,18,13.7,29,17.8
11,2023-01-01,KPHX,S2,34.14545,34.14545,34.14545,-112.30123,-112.30123,-112.30123,41,73,91,19,14.7,33,18.7
12,2023-01-01,KRGX,D2,38.91239,38.91239,38.91239,-119.87524,-119.87524,-119.87524,31,51,51,7,8.5,15,6.9
13,2023-01-01,KVBX,G7,34.86271,34.86271,34.86271,-119.97364,-119.97364,-119.97364,41,63,84,2,5.8,65,2.3
14,2023-01-01,PACG,C4,57.01834,57.01834,57.01834,-135.78282,-135.78282,-135.78282,46,103,103,1,6.3,128,0.8
15,2023-01-01,PACG,D4,57.0519,57.0519,57.0519,-135.80352,-135.80352,-135.80352,46,99,99,1,6.6,108,0.9
16,2023-01-01,PACG,G2,57.21523,57.21523,57.21523,-135.43414,-135.43414,-135.43414,28,50,50,2,5.3,35,2.4
17,2023-01-01,PACG,H0,57.08875,57.08875,57.08875,-135.6772,-135.6772,-135.6772,50,53,79,2,6.9,86,2.1
18,2023-01-01,PACG,J3,57.028616666666665,56.9888,57.05839,-135.76970333333335,-135.79541,-135.72864,44,96,96,2,7.9,114,2.0
19,2023-01-01,PACG,V3,57.23011,57.23011,57.23011,-135.76763,-135.76763,-135.76763,35,50,50,3,5.5,33,2.7
20,2023-01-01,PACG,Z3,57.09152,57.05839,57.12465,-135.69997,-135.72864,-135.6713,42,82,82,2,11.0,92,2.0
21,2023-01-02,KBNA,I3,36.15464,36.15464,36.15464,-87.03635,-87.03635,-87.03635,57,79,86,10,13.5,67,10.4
22,2023-01-02,KBNA,L3,36.144235,36.13806,36.15041,-86.971035,-87.00062,-86.94145,50,79,107,20,17.6,99,19.6
23,2023-01-02,KBNA,O1,35.98543133333333,35.93454,36.07583,-87.39105599999999,-87.54431,-87.22519,59,103,108,30,28.1,56,29.6
24,2023-01-02,KBNA,O2,36.04496,36.03945,36.05175,-87.24549,-87.27402,-87.23051,59,82,112,14,19.7,65,14.3
25,2023-01-02,KBNA,V1,35.90745,35.90745,35.90745,-87.4783,-87.4783,-87.4783,35,37,124,32,28.7,49,31.5
26,2023-01-02,KBNA,Y1,35.79079,35.79079,35.79079,-87.57653,-87.57653,-87.57653,50,82,94,24,20.2,33,23.7
27,2023-01-02,KBNA,Y2,36.179625,36.17185,36.1874,-86.86277999999999,-86.89083,-86.83473,44,90,96,8,16.9,96,8.1
28,2023-01-02,KFDX,V0,34.581469999999996,34.57845,34.58449,-104.03827999999999,-104.03884,-104.03772,37,53,67,3,5.8,50,3.3
29,2023-01-02,KHDX,G2,32.67306,32.67306,32.67306,-106.53458,-106.53458,-106.53458,32,28,70,9,5.3,34,9.1
30,2023-01-02,KHDX,H0,32.81766,32.81766,32.81766,-106.55747,-106.55747,-106.55747,40,59,59,3,8.6,35,3.0
31,2023-01-02,KHDX,M0,32.83692,32.83692,32.83692,-106.52515,-106.52515,-106.52515,41,66,66,2,7.0,42,1.8
32,2023-01-02,KHDX,R0,32.80316,32.80316,32.80316,-106.5196,-106.5196,-106.5196,38,63,63,2,5.3,39,1.8
33,2023-01-02,KHDX,S4,32.33867,32.33867,32.33867,-106.48898,-106.48898,-106.48898,32,58,58,4,6.7,19,4.1
34,2023-01-02,KHDX,T0,32.64811,32.64811,32.64811,-106.52999,-106.52999,-106.52999,37,63,63,4,7.9,30,3.9
35,2023-01-02,KHOU,I4,30.26588,30.26588,30.26588,-95.30242,-95.30242,-95.30242,33,94,108,14,25.3,38,14.0
36,2023-01-02,KHOU,J3,29.94241,29.94241,29.94241,-95.61148,-95.61148,-95.61148,44,62,82,18,16.7,42,18.0
37,2023-01-02,KHOU,P2,30.01708,30.01708,30.01708,-95.25205,-95.25205,-95.25205,40,33,93,9,23.7,50,8.7
38,2023-01-02,KHOU,Q4,30.047963333333332,29.93916,30.18043,-95.10315333333334,-95.12979,-95.05125,31,24,93,17,14.9,54,17.3
39,2023-01-02,KIAH,F2,30.706000909090907,30.60202,30.83231,-95.66856454545454,-95.72589,-95.61157,64,95,123,17,17.8,54,17.2
40,2023-01-02,KIAH,I1,30.696749999999998,30.58865,30.75749,-96.03044,-96.07594,-95.99384,40,37,103,10,16.3,35,9.5
41,2023-01-02,KIAH,I3,30.697158,30.6407,30.7815,-95.662334,-95.68781,-95.62504,56,34,104,9,23.5,47,8.7
42,2023-01-02,KIAH,N7,29.67015,29.67015,29.67015,-95.64674,-95.64674,-95.64674,69,107,107,3,5.6,71,2.9
